2017:04:11 20:07:30.246 INFO  --> [RMI TCP Connection(2)-10.202.96.76] o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext : Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@15eb5ee5: startup date [Tue Apr 11 20:06:50 KST 2017]; root of context hierarchy 
2017:04:11 20:07:30.247 INFO  --> [RMI TCP Connection(2)-10.202.96.76] o.s.j.e.a.AnnotationMBeanExporter : Unregistering JMX-exposed beans on shutdown 
2017:04:11 20:07:42.034 INFO  --> [main] com.ygsoft.WebshowApplication : Starting WebshowApplication on SKP1000074MN001.local with PID 94120 (/Users/1002000/Documents/my_works/agentx/webshow/target/classes started by 1002000 in /Users/1002000/Documents/my_works/agentx/webshow) 
2017:04:11 20:07:42.045 INFO  --> [main] com.ygsoft.WebshowApplication : No active profile set, falling back to default profiles: default 
2017:04:11 20:07:42.196 INFO  --> [main] o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext : Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@15eb5ee5: startup date [Tue Apr 11 20:07:42 KST 2017]; root of context hierarchy 
2017:04:11 20:07:42.604 INFO  --> [main] o.s.b.f.s.DefaultListableBeanFactory : Overriding bean definition for bean 'beanNameViewResolver' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter.class]] 
2017:04:11 20:07:42.754 INFO  --> [main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor : JSR-330 'javax.inject.Inject' annotation found and supported for autowiring 
2017:04:11 20:07:43.050 INFO  --> [main] o.s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat initialized with port(s): 8080 (http) 
2017:04:11 20:07:43.064 INFO  --> [main] o.a.catalina.core.StandardService : Starting service Tomcat 
2017:04:11 20:07:43.065 INFO  --> [main] o.a.catalina.core.StandardEngine : Starting Servlet Engine: Apache Tomcat/8.0.30 
2017:04:11 20:07:43.256 INFO  --> [localhost-startStop-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2017:04:11 20:07:43.256 INFO  --> [localhost-startStop-1] o.s.web.context.ContextLoader : Root WebApplicationContext: initialization completed in 1060 ms 
2017:04:11 20:07:43.456 INFO  --> [localhost-startStop-1] o.s.b.c.e.ServletRegistrationBean : Mapping servlet: 'dispatcherServlet' to [/] 
2017:04:11 20:07:43.460 INFO  --> [localhost-startStop-1] o.s.b.c.e.FilterRegistrationBean : Mapping filter: 'characterEncodingFilter' to: [/*] 
2017:04:11 20:07:43.460 INFO  --> [localhost-startStop-1] o.s.b.c.e.FilterRegistrationBean : Mapping filter: 'hiddenHttpMethodFilter' to: [/*] 
2017:04:11 20:07:43.461 INFO  --> [localhost-startStop-1] o.s.b.c.e.FilterRegistrationBean : Mapping filter: 'httpPutFormContentFilter' to: [/*] 
2017:04:11 20:07:43.461 INFO  --> [localhost-startStop-1] o.s.b.c.e.FilterRegistrationBean : Mapping filter: 'requestContextFilter' to: [/*] 
2017:04:11 20:07:43.632 INFO  --> [main] o.s.w.s.m.m.a.RequestMappingHandlerAdapter : Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@15eb5ee5: startup date [Tue Apr 11 20:07:42 KST 2017]; root of context hierarchy 
2017:04:11 20:07:43.674 INFO  --> [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/]}" onto java.lang.String com.ygsoft.webshow.controller.Hell.home() 
2017:04:11 20:07:43.676 INFO  --> [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest) 
2017:04:11 20:07:43.677 INFO  --> [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
2017:04:11 20:07:43.698 INFO  --> [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2017:04:11 20:07:43.699 INFO  --> [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2017:04:11 20:07:43.726 INFO  --> [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2017:04:11 20:07:44.046 INFO  --> [main] o.s.j.e.a.AnnotationMBeanExporter : Registering beans for JMX exposure on startup 
2017:04:11 20:07:44.108 INFO  --> [main] org.mortbay.log : Logging to Logger[org.mortbay.log] via org.mortbay.log.Slf4jLog 
2017:04:11 20:07:44.122 INFO  --> [main] o.s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat started on port(s): 8080 (http) 
2017:04:11 20:07:44.126 INFO  --> [main] com.ygsoft.WebshowApplication : Started WebshowApplication in 2.408 seconds (JVM running for 2.824) 
2017:04:11 20:07:48.794 INFO  --> [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring FrameworkServlet 'dispatcherServlet' 
2017:04:11 20:07:48.794 INFO  --> [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet : FrameworkServlet 'dispatcherServlet': initialization started 
2017:04:11 20:07:48.804 INFO  --> [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet : FrameworkServlet 'dispatcherServlet': initialization completed in 10 ms 
2017:04:11 20:09:38.678 INFO  --> [RMI TCP Connection(2)-10.202.96.76] o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested. 
2017:04:11 20:09:38.679 INFO  --> [RMI TCP Connection(2)-10.202.96.76] o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext : Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@15eb5ee5: startup date [Tue Apr 11 20:07:42 KST 2017]; root of context hierarchy 
2017:04:11 20:09:38.680 INFO  --> [RMI TCP Connection(2)-10.202.96.76] o.s.j.e.a.AnnotationMBeanExporter : Unregistering JMX-exposed beans on shutdown 
